paper_id,journal_name,extraction_status,article_type,publication_status,volume_text,volume_number,volume_year,section,title,publication_date,year,doi,url,abstract,authors_raw,n_authors,citations,citation_source,downloads,metric_used_as_downloads,keywords,topic_label,topic_source,topic_evidence,topic_score,topic_confidence,manual_topic_label,manual_topic_source,manual_topic_evidence,manual_topic_status,n_references
22,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Drug Discovery in Bioinformatics,Food-derived linear vs. rationally designed cyclic peptides as potent TNF-alpha inhibitors: an integrative computational study,2025-11-18,2025,10.3389/fbinf.2025.1716375,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1716375/full,"Introduction: Tumor necrosis factor-alpha (TNF-alpha) is a central mediator of chronic inflammation and a validated therapeutic target in atherosclerosis and related cardiovascular disorders. Peptide therapeutics offer high specificity and low toxicity; however, few natural sequences have been optimized for durable TNF-alpha inhibition. Methods: A dual in silico strategy was employed to identify potent inhibitors: (i) virtual screening of experimentally validated food-derived bioactive peptides and (ii) rational design of an N-C cyclized and disulfide-bridge peptide based on the TNF-alpha-TNFR1 interface. Molecular docking, 200-ns molecular dynamics simulations, and MM/PBSA free-energy analyses were performed. Results: The selected peptides exhibited strong and persistent interactions with key TNF-alpha residues, particularly Tyr119. The cyclic analogue demonstrated deeper free-energy minima, higher binding affinity, and more stable hydrogen-bond networks than the linear sequence. ADMET profiling revealed superior metabolic stability, reduced plasma clearance, and no predicted cardiotoxicity. Discussion: These results indicate that dietary peptides can serve as templates for TNF-alpha inhibition, and interface-guided cyclization rationally enhances stability, binding affinity, and drug-like properties. This study provides a mechanistic framework for developing food-derived peptides as next-generation TNF-alpha antagonists and supports United Nations SDGs 3 and 9 by promoting innovative, low-toxicity therapeutics for chronic inflammation and cardiovascular diseases.","Shah, Manisha; Arumugam, Sivakumar",2,1,Crossref,2590,views_from_filtered_article_listing_2025,molecular docking; cyclic peptide; TNF-alpha; food-derived peptide; interface residue; linear peptide; disulfide-bridge peptide,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,50
23,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Protein Bioinformatics,Role of histone-lysine N-methyltransferase 2D (KMT2D) in MEK-ERK signaling-mediated epigenetic regulation: a phosphoproteomics perspective,2025-11-18,2025,10.3389/fbinf.2025.1683469,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1683469/full,"Introduction: Histone-lysine N-methyltransferase 2D (KMT2D) is an H3K4 methyltransferase and a potential tumor suppressor with a crucial role in regulating gene expression. Its dysregulation has been implicated in developmental disorders and several types of cancers. Despite this, the molecular mechanisms that govern its activity remain largely elusive. Among these, post-translational modifications, especially phosphorylation, serve as an essential regulator, fine-tuning KMT2D stability, localization and functional interactions for maintaining cellular homeostasis. With over 173 phosphorylation sites reported, KMT2D is significantly regulated by kinases and exploring its phospho-regulatory network based on targeted [in vitro] approaches is challenging. Methods: We systematically curated and integrated the global phosphoproteomic datasets, along with their corresponding experimental conditions, to comprehensively identify the phosphorylation events reported for KMT2D. The site exhibiting the highest frequency of detection across these datasets is considered the predominant phosphorylation site. To investigate its functional significance, we analyzed the proteins and their phosphorylation sites that are differentially co-regulated with the predominant site, as well as its associated upstream kinases and interacting proteins. Results: Among the 173 reported phosphorylation sites representing KMT2D, Serine 2274 (S2274) emerged as the predominant site being detected in over 42% of diverse mass spectrometry-based phosphoproteomics datasets. This site lies within one of KMT2D’s unique “[LSPPP]” motifs, suggesting a potential regulatory role. Detailed investigation on the differentially co-regulated protein phosphosites revealed the phosphorylation of KMT2D at S2274 is consistently and positively co-regulated with MAPK1/ERK2 activation, as well as with the proteins involved in the MAPK cascade, epigenetic regulation and cell differentiation. Notably, ERK2 was predicted as an upstream kinase targeting S2274, suggesting that KMT2D S2274 functions as a potential downstream effector of MEK-ERK signaling pathway, potentially linking to epigenetic regulation and cell differentiation. Further, our results highlighted a potential mechanistic link between disrupted phosphorylation at S2274 and the pathogenesis of Kabuki syndrome. Discussion: This study delineates the phosphoregulatory network of KMT2D, positioning it as a dynamic epigenetic effector modulated by MEK-ERK signaling, with broader implications for cancer and developmental disorders.","Kammarambath, Sreeshma Ravindran; Dcunha, Leona; Gopalakrishnan, Athira Perunelly; Fahma, Amal; Krishna, Neelam; Mahin, Altaf; Ummar, Samseera; Shivamurthy, Prathik Basthikoppa; Madar, Inamul Hasan; Raju, Rajesh",10,2,Crossref,2470,views_from_filtered_article_listing_2025,epigenetic regulation; KMT2D; phosphoproteomics; MEK-ERK signaling; kabuki syndrome; phosphorylation sites,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,76
24,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Drug Discovery in Bioinformatics,Machine learning-guided optimization of triple agonist peptide therapeutics for metabolic disease,2025-11-17,2025,10.3389/fbinf.2025.1687617,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1687617/full,"Introduction: Multi-target peptide therapeutics targeting glucagon receptor (GCGR), glucagon-like peptide-1 receptor (GLP1R), and glucose-dependent insulinotropic polypeptide receptor (GIPR) represent a promising approach for treating diabetes and obesity. Triple agonist peptides demonstrate promising therapeutic potential compared to single-target approaches, yet rational design remains computationally challenging due to complex sequence-structure activity relationships. Existing methods, primarily based on convolutional neural networks, impose limitations including fixed sequence lengths and inadequate representation of molecular topology. Graph Attention Networks (GAT) offer advantages in capturing molecular structures and variable-length peptide sequences while providing interpretable insights into receptor-specific binding determinants. Methods: A dataset of 234 peptide sequences with experimentally determined binding affinities was compiled from multiple sources. Peptides were represented as molecular graphs with seven-dimensional node features encoding physicochemical properties and positional information. The GAT architecture employed a shared encoder with task-specific prediction heads, implementing transfer learning to address limited GIPR training data. Performance was evaluated using 5-fold cross-validation and independent validation on 24 literature-derived sequences. A genetic algorithm framework was developed for peptide sequence optimization, incorporating multi objective fitness evaluation based on predicted binding affinity, biological plausibility, and sequence novelty. Results: Cross-validation demonstrated robust GAT performance across all receptors, with GCGR achieving high accuracy (AUC ROC: 0.915 ± 0.050), followed by GLP1R (AUC-ROC: 0.853 ± 0.059), and GIPR showing acceptable performance despite limited data (AUC-ROC: 0.907 ± 0.083). Comparative analysis revealed receptor-specific advantages: GAT significantly outperformed CNN for GCGR prediction (RMSE: 0.942 vs. 1.209, p = 0.0013), while CNN maintained superior GLP1R performance (RMSE: 0.552 vs. 0.723). Genetic algorithm optimization measurable improvement over baseline, with 4.0% fitness Enhancement and generation of 20 candidates exhibiting mean binding probabilities exceeding 0.5 across all targets. The GAT-based framework provides a computational approach in computational peptide design, demonstrating receptor-specific advantages and robust optimization capabilities. Conclusion: Genetic algorithm optimization enables systematic exploration of sequence space within existing agonist scaffolds while maintaining biological constraints. This approach provides a rational framework for prioritizing experimental validation efforts in triple agonist development.","Wong, Anthony; Guduri, Sanskruthi; Chen, TsungYen; Patel, Kunal",4,1,Crossref,2949,views_from_filtered_article_listing_2025,machine learning; drug discovery; graph attention networks; peptide design; bioactivity prediction,Machine Learning,title,machine learning,3,alta,NA,NA,NA,NA,67
25,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Drug Discovery in Bioinformatics,QSAR-guided discovery of novel KRAS inhibitors for lung cancer therapy,2025-11-17,2025,10.3389/fbinf.2025.1663846,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1663846/full,"Introduction: KRAS mutations are key oncogenic drivers in lung cancer, yet effective pharmacological targeting has remained a major challenge due to the protein's elusive and dynamic binding pockets. Computational modeling offers a promising route to identify novel inhibitors with improved potency and selectivity. Methods: A quantitative structure–activity relationship (QSAR) modeling approach was developed to predict the inhibitory potency (pIC[50]) of KRAS inhibitors and support [de novo] drug design. Molecular descriptors for 62 inhibitors retrieved from the ChEMBL database (CHEMBL4354832) were computed using Chemopy. Following descriptor normalization and dimensionality reduction, five machine learning algorithm spartial least squares (PLS), random forest (RF), stepwise multiple linear regression (MLR), genetic algorithm optimized MLR (GA-MLR), and XGBoost were applied. Model performance was evaluated using [R][2], RMSE, and MAE, while permutation-based importance and SHAP analyses provided feature interpretability. Results: Among the models tested, PLS exhibited the best predictive performance ([R][2] = 0.851; RMSE = 0.292), followed by RF ([R][2] = 0.796). The GA-MLR model, based on eight optimized molecular descriptors, achieved good interpretability and robust internal validation ([R][2] = 0.677). Virtual screening of 56 [de novo] designed compounds within the model's applicability domain identified compound C9 with a predicted pIC[50]) of 8.11 as the most promising hit. Discussion: This integrative QSAR modeling and [de novo] design framework effectively predicted the bioactivity of KRAS inhibitors and facilitated the identification of novel candidate molecules. The findings demonstrate the utility of combining interpretable machine learning models with virtual screening to accelerate the discovery of potent KRAS inhibitors for lung cancer therapy.","Stephen Adebayo, Osasan; Oche Ambrose, George; Olusola, Daramola; Oluwafemi, Adefolalu; Alzahrani, Hind A.; Hasan, Abdulkarim",6,1,Crossref,1765,views_from_filtered_article_listing_2025,QSAR; KRAS mutations; de novo design; GA-MLR model; KRAS inhibitor,Machine Learning,title,qsar,3,alta,NA,NA,NA,NA,24
26,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Single Cell Bioinformatics,Comprehensive analysis of multi-omics vaccine response data using MOFA and Stabl algorithms,2025-11-13,2025,10.3389/fbinf.2025.1636240,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1636240/full,"Introduction: FluPRINT is a multi-omics dataset that measures donors’ protein expression and cell counts across various assays. Donors were also assigned a binary value (0 or 1), being labeled as high responders if they had a fold change ≥4 of the antibody titer for hemagglutination inhibition (HAI) from day 0 to day 28, and low responders otherwise (0). In this project, we used the MOFA and Stabl algorithms to analyze FluPRINT, estimate the population structure from the data, and identify the most important features for predicting response to the vaccine. Methods: The preprocessing of the dataset included removing repeat features, scaling by assay, and removing outliers. Since Stabl does not directly address missing values, features with high amounts of missing values were removed and the remaining were ignored. Results: MOFA identified the top feature in structure extraction as IL neg 2 CD4 pos CD45Ra neg pSTAT5. MOFA explains well the variance of the data while also choosing features that have good significance, as illustrated by their significant p-values (p < 0.05). Stabl found the top feature for explaining the outcome to be CD33[−] CD3[+] CD4[+] CD25hiCD127low CD161+ CD45RA + Tregs, which matched the top result of previously published analysis. MOFA’s features achieved an AUROC of 0.616 (95% CI of 0.426–0.806), and Stabl’s achieved an AUROC of 0.634 (95% CI of 0.432–0.823). Discussion: Our research addresses a key knowledge gap: understanding how these fundamentally different analytical approaches perform when analyzing the same complex dataset. Our exploration evaluates their respective strengths, limitations, and biological insights and provides guidance on using MOFA and Stabl to find the best predictive cell subsets and features for understanding large immunological multi-omics data. The code for this project can be found at https://github.com/aanya21gupta/fluprint.","Gupta, Aanya; Abe, Koji; Maecker, Holden T.",3,0,Crossref,2177,views_from_filtered_article_listing_2025,multi-omics; vaccine; influenza; fluprint; MOFA; Stabl; flu vaccine,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,19
27,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Protein Bioinformatics,ParaDeep: sequence-based deep learning for residue-level paratope prediction using chain-aware BiLSTM-CNN models,2025-11-05,2025,10.3389/fbinf.2025.1684042,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1684042/full,"Accurate prediction of antibody paratopes is a critical challenge in structure-limited, high-throughput discovery workflows. We present ParaDeep, a lightweight and interpretable deep learning framework for residue-level paratope prediction directly from amino acid sequences. ParaDeep integrates bidirectional long short-term memory networks with one-dimensional convolutional layers to capture both long-range sequence context and local binding motifs. We systematically evaluated 30 model configurations varying in encoding schemes, convolutional kernel sizes, and antibody chain types. In five-fold cross-validation, heavy (H) chain models achieved the highest performance (F1 = 0.856 ± 0.014, MCC = 0.842 ± 0.015), outperforming light (L) chain models (F1 = 0.774 ± 0.023, MCC = 0.772 ± 0.022). On an independent blind test set, ParaDeep attained F1 = 0.723 and MCC = 0.685 for H chains, and F1 = 0.607 and MCC = 0.587 for L chains, representing a 27% MCC improvement over the sequence-based baseline Parapred. Chain-specific modeling revealed that heavy chains provide stronger sequence-based predictive signals, while light chains benefit more from structural context. ParaDeep approaches the performance of state-of-the-art structure-based methods on heavy chains while requiring only sequence input, enabling faster and broader applicability without the computational cost of 3D modeling. Its efficiency and scalability make it well-suited for early-stage antibody discovery, repertoire profiling, and therapeutic design, particularly in the absence of structural data. The implementation is freely available at https://github.com/PiyachatU/ParaDeep, with Python (PyTorch) code and a Google Colab interface for ease of use.","Udomwong, Piyachat; Pamonsupornwichit, Thanathat; Kodchakorn, Kanchanok; Tayapiwatana, Chatchai",4,0,Crossref,2292,views_from_filtered_article_listing_2025,deep learning; antibody binding site prediction; BiLSTM-CNN; heavy and light chains; paratope identification; sequence modeling,Machine Learning,title,deep learning,3,alta,NA,NA,NA,NA,50
28,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Genomic Analysis,Cellf-deception: human microglia clone 3 (HMC3) cells exhibit more astrocyte-like than microglia-like gene expression,2025-11-04,2025,10.3389/fbinf.2025.1681811,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1681811/full,"Introduction: Recent advances in Alzheimer’s research suggest that the brain’s immune system plays a critical role in the development and progression of this devastating disease. Microglial cells are vital as immune cells in the brain’s defense system. Human Microglia Clone 3 (HMC3) is a cell line developed as a promising experimental model to understand the role of microglial cells in human diseases including Alzheimer’s and other neurodegenerative diseases. The frequency of HMC3 cell usage has increased in recent years, with the idea that this cell line could serve as a convenient model for human microglial cell functions. Methods: We utilized gene-pair ratios from bulk and single-cell RNA sequencing (scRNA-seq) expression data to create predictive models of cell-type origins. Results: Our model reveals that the HMC3 cell line represents various cell types, with the highest cell similarity score relating to astrocytes, not microglia. Discussion: These findings suggest that the HMC3 cell line is not a reliable human microglia model and that extreme caution should be taken when interpreting the results of studies using the HMC3 cell line.","Rahm, Kylee K.; Kinghorn, Branden S.; Moody, Myanna J.; Stone, Ben C.; Strong, Kenton C.; Kim, Brian S.; Chang, Yen Jou; Sleight, Samantha N.; Nitz, Alyssa A.; Hansen, David V.; Bailey, Matthew H.",11,1,Crossref,3259,views_from_filtered_article_listing_2025,astrocytes; microglia; Alzheimer’s disease; HMC3 cells; iPSC-derived microglia (iMG); cell-type classification,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,60
29,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Integrative Bioinformatics,Identification of ordinal relations and alternative suborders within high-dimensional molecular data,2025-11-03,2025,10.3389/fbinf.2025.1665892,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1665892/full,"Introduction: Numerous biological systems exhibit ordinal connections between categories. Developmental and time-series information inherently depict sequences like “early,” “intermediate,” and “late” phases, showing that these specific processes follow a progression. Ordinal classification techniques are often applied in biological and medical contexts, ranging from the evaluation of pain intensity, to the detection of evolving diseases, such as cancer. These ranking systems may assist clinicians in establishing diagnoses and developing tailored treatment plans. For instance, tumor staging might guide early detection strategies and targeted therapies, improving patient outcomes. However, applying ordinal classification to biological data presents considerable challenges. In addition to their high dimensionality, these datasets can be highly heterogeneous, often reflecting branching processes that occur simultaneously during progression. Factors such as intratumoral diversity, asynchronous progress, and context-specific signaling activity may interfere with the identification of such alternative development routes. Methods: To address these challenges, we propose a framework for uncovering ordinal relationships within molecular data. Specifically, directed threshold classifiers are introduced as base learners for ordinal classifier cascades, enabling the detection of both total and partial orderings between molecular states. Results: This approach preserves the inherent ordinal structure by projecting high-dimensional data onto one single dimension while simultaneously decreasing complexity. Additionally, the distinct features of the resulting thresholds allow the prediction of potential alternative paths among the suborders.","Stolnicu, Ana; Eckhardt-Bellmann, Peter; Kestler, Angelika M. R.; Kestler, Hans A.",4,0,Crossref,1434,views_from_filtered_article_listing_2025,alternative progression patterns; classifier cascades; directed threshold classifiers; ordinal classification; high-throughput data,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,52
30,Frontiers in Bioinformatics,ok,EDITORIAL article,published,5 - 2025,5,2025,Protein Bioinformatics,Editorial: Computational protein function prediction based on sequence and/or structural data,2025-10-31,2025,10.3389/fbinf.2025.1705252,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1705252/full,"In recent years, the integration of computational and machine learning techniques has dramatically advanced our understanding of protein function and enginee...","Jang, Yaan J.",1,0,Crossref,1946,views_from_filtered_article_listing_2025,deep learning; machine learning; protein structure; protein function prediction; protein sequence,Machine Learning,keywords,deep learning,3,alta,NA,NA,NA,NA,9
31,Frontiers in Bioinformatics,ok,REVIEW article,published,5 - 2025,5,2025,Computational BioImaging,Segmentation and modeling of large-scale microvascular networks: a survey,2025-10-31,2025,10.3389/fbinf.2025.1645520,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1645520/full,"Recent advances in three-dimensional microscopy enable imaging of whole-organ microvascular networks in small animals. Since microvasculature plays a crucial role in tissue development and function, its structure may provide diagnostic biomarkers and insight into disease progression. However, the microscopy community currently lacks benchmarks for scalable algorithms to measure these potential biomarkers. While many algorithms exist for segmenting vessel-like structures and extracting their surface features and connectivity, they have not been thoroughly evaluated on modern gigavoxel-scale images. In this paper, we propose a comprehensive yet compact survey of available algorithms. We focus on essential features for microvascular analysis, including extracting vessel surfaces and the network’s associated connectivity. We select a series of algorithms based on popularity and availability and provide a thorough quantitative analysis of their performance on datasets acquired using light sheet fluorescence microscopy (LSFM), knife-edge scanning microscopy (KESM), and X-ray microtomography (µ-CT).","Goharbavang, Helya; Ashitkov, Artem T.; Pillai, Athira; Wythe, Joshua D.; Chen, Guoning; Mayerich, David",6,0,Crossref,2545,views_from_filtered_article_listing_2025,network; segmentation; vascular; microvascular; skeletonization,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,52
32,Frontiers in Bioinformatics,ok,PERSPECTIVE article,published,5 - 2025,5,2025,Computational BioImaging,The importance of democratized resources in early-career training for bioimage analysts and bioimaging scientists,2025-10-30,2025,10.3389/fbinf.2025.1693343,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1693343/full,"The fields of bioimaging and image analysis are rapidly expanding as new technologies transform biological questions into novel insights. While professionals of varying expertise are essential to achieving these advancements, early-career scientists—a prominent user group within the imaging community—are often assumed to have the prerequisite knowledge and ability to use these tools. This demographic, consisting of students, post-docs, and bioimage analysis trainees, is critical for the field to continue to evolve and flourish. However, obstacles such as geographic location, language barriers, insufficient funding or training, and instrument availability hinder access to resources and introduce significant knowledge gaps, especially for scientists in early-career stages. Democratized resources for bioimaging and analysis such as forums, community organizations, and publicly available datasets have been helpful in overcoming barriers to access for early-career scientists. Here, we discuss the current tools and resources available for early-career researchers, highlight their limitations from the learners’ perspective, and propose strategies to better support this group. As bioimage analysis extends broadly into many scientific disciplines, we implore all members of this community, regardless of experience level, to empower next-generation scientists. Graphical Abstract Democratized tools such as bioimaging networks, virtual forums, online training material, and open datasets improve the training of early-career scientists. These tools help promote scientific discoveries and innovation to benefit colleagues, supervisors, academic institutions, and industry. In turn, trainees and early-career scientists can improve and develop democratized tools. This progress is challenged by limitations in language accessibility, resource availability and awareness, and prior knowledge. Created in BioRender. Laprade, G. (2025).","Laprade, Genevieve; Lee, Quinn; Gallik, Kristin L.; Nelson, Michael; Woo, Natalie; Terán Ramírez, Celina; Becerril Cuevas, Alexis Ricardo; Eliceiri, Kevin W.; Esquibel, Corinne",9,0,Crossref,2138,views_from_filtered_article_listing_2025,community; microscopy; image analysis; early career; bioimaging networks; imaging scientists; democratized resources,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,17
33,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Network Bioinformatics,Gene expression profile in colon cancer therapeutic resistance and its relationship with the tumor microenvironment,2025-10-29,2025,10.3389/fbinf.2025.1674179,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1674179/full,"Introduction: Colon cancer is a common disease, treated with few chemotherapeutic agents with similar treatment sequencing despite its heterogeneity. A significant proportion of patients are diagnosed with metastasis, and resistance to antineoplastic drugs is associated with disease progression and therapeutic failure. It is known that the tumor microenvironment plays an essential role in cancer progression, contributing to processes that may be associated with therapeutic resistance mechanisms in colon cancer. In this study, we aim to identify a gene expression signature and its relationship with immune cell infiltration in colon cancer, contributing to the identification of potential resistance biomarkers. Methods: An [in silico] study was conducted using RNA-seq data from The Cancer Genome Atlas Program (TCGA) samples, subdivided into two groups (treatment-resistant and non-resistant), taking into account the molecular subgroups (CMS1, CMS2, CMS3, and CMS4). The following algorithms were used: i. [Limma] was applied to identify differentially expressed genes; ii. WGCNA was applied to construct co-expression networks; iii. CIBERSORT was applied to estimate the proportion of infiltrating immune cells; and iv. TIMER was applied to explore the relationship between core genes and immune cell content. Results: Twenty differentially expressed genes (DEGs) were found, with 18 related to the group considered resistant to oncologic treatment and presenting poorer overall survival. T CD4 memory resting cells and M0 and M2 macrophages were found in more significant proportions in the analyzed samples and more infiltrated in the tumor microenvironment, the higher the expression of some of these resistance DEGs. Additionally, these genes correlate with biological aspects of neuronal differentiation, axogenesis, and synaptic transmission. Conclusion: The gene expression signature suggests the presence of differentially expressed synaptic membrane genes, which may be involved in neuronal pathways that influence the tumor microenvironment, potentially serving as future biomarkers. Furthermore, the presence of M0 and M2 macrophages and T CD4 memory resting cells suggests a potential interaction that may play a role in therapeutic resistance.","Doria, Priscila Galvão; Rocha, Gisele Vieira; Bertoni, Vanessa Dybal; Santos, Roberto de Souza Batista dos; Araújo-Pereira, Mariana; Gurgel, Clarissa",6,1,Crossref,1957,views_from_filtered_article_listing_2025,biomarkers; prognosis; tumor microenvironment; colon cancer; gene expression profile; computational biology; therapeutic resistance,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,53
34,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Protein Bioinformatics,Unraveling the molecular basis of snake venom nerve growth factor: human TrkA recognition through molecular dynamics simulation and comparison with human nerve growth factor,2025-10-24,2025,10.3389/fbinf.2025.1674791,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1674791/full,"Introduction: Neurodegenerative diseases pose significant challenges owing to the limited number of effective therapies. Nerve growth factor (NGF) plays a crucial role in neuronal survival and differentiation through tropomyosin receptor kinase A (TrkA). Although snake venom NGF (sNGF) has been studied for its ability to activate TrkA, the binding modes and associated dynamics remain unclear compared to those of human NGF (hNGF). Herein, we explored the possibilities of NGFs from [Daboia russelii] and [Naja naja] as potential therapeutic alternatives to hNGF by comparing the structural similarities and conserved binding residues. Methods: The active sites were identified through a literature review, molecular docking was performed using HADDOCK, and molecular dynamics simulation was performed to analyse the stabilities of the complexes; then, PRODIGY and molecular mechanics Poisson–Boltzmann surface area were used to determine the binding affinities. Results: The different sNGFs exhibited stronger binding affinities and stabilities than hNGF, while principal component analysis and the free energy landscape indicated constrained conformational flexibilities suggestive of an adaptive mechanism in sNGF for effective receptor engagement. A network coevolutionary analysis was performed, which showed the pattern in which the amino acids were coevolved and conserved throughout the simulations. Discussion: These findings indicate that NGFs from [D. russelii] and [N. naja] are promising therapeutic candidates for treating neurodegenerative disorders and warrant further [in vivo] validation. Graphical Abstract","Devi, Shrudhi; Jayaraman, Gurunathan",2,1,Crossref,1737,views_from_filtered_article_listing_2025,neurodegenerative disease; simulation; snake venom; nerve growth factor; tyrosine receptor kinase A,Otros,NA,NA,NA,sin_evidencia_fuerte,Estadistica,abstract,principal component analysis,revision_manual,81
35,Frontiers in Bioinformatics,ok,PERSPECTIVE article,published,5 - 2025,5,2025,Data Visualization,Why science needs art,2025-10-24,2025,10.3389/fbinf.2025.1708311,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1708311/full,"This perspective paper examines the profound cognitive and methodological parallels between scientific and artistic research, challenging the traditional distinction between the two domains. While science and art use different languages, both emerge from the human drive for creativity and understanding. We argue that scientific inquiry, often presented as strictly objective and methodical, inherently shares with art the need for imagination, flexibility, and interpretative thinking. Drawing on neuroscience, education, design theory, and the visual arts, we highlight how artistic practices, particularly in the visual arts, can enhance scientific learning, innovation, and public engagement. We advocate integrating art into scientific training and research to foster a more creative and inclusive epistemology. Through examples in microbiology, education, and data visualization, we show how the arts can support deeper understanding, cross-disciplinary collaboration, and more effective science communication. Ultimately, we call for a shift toward a more integrated approach that embraces the complementary strengths of both art and science in advancing knowledge and societal impact.","Ghisleni, Giulia; Stolte, Christian; Gozzard, Megan; Von Soosten, Lea; Bruno, Antonia",5,0,Crossref,3153,views_from_filtered_article_listing_2025,science communication; interdisciplinary research; art-science integration; creative epistemology; visual arts in science education,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,35
36,Frontiers in Bioinformatics,ok,ORIGINAL RESEARCH article,published,5 - 2025,5,2025,Network Bioinformatics,Drug repositioning pipeline integrating community analysis in drug-drug similarity networks and automated ATC community labeling to foster molecular docking analysis,2025-10-23,2025,10.3389/fbinf.2025.1666716,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1666716/full,"Introduction: Drug repositioning—finding new therapeutic uses for existing drugs—can dramatically reduce development time and cost, but requires efficient computational frameworks to generate and validate repositioning hypotheses. Network-based methods can uncover drug communities with shared pharmacological properties, while molecular docking offers mechanistic insights by predicting drug–target binding. Methods: We introduce an end-to-end, fully automated pipeline that (1) constructs a tripartite drug-gene-disease network from DrugBank and DisGeNET, (2) projects it into a drug-drug similarity network for community detection, (3) labels communities [via] Anatomical Therapeutic Chemical (ATC) codes to generate repositioning hints and identify relevant targets, (4) validates hints through automated literature searches, and (5) prioritizes candidates [via] targeted molecular docking. Results: After filtering for connectivity and size, 12 robust communities emerged from the initial 34 clusters. The pipeline correctly matched 53.4% of drugs to their ATC level 1 community label [via] database entries; literature validation confirmed an additional 20.2%, yielding 73.6% overall accuracy. The remaining 26.4% of drugs were flagged as repositioning candidates. To illustrate the advantages of our pipeline, molecular docking studies of chloramphenicol demonstrated stable binding and interaction profiles similar to those of known inhibitors, reinforcing its potential as an anticancer agent. Conclusion: Our integrated pipeline effectively integrates network-based community analysis and automated ATC labeling with literature and docking analysis, narrowing the search space for [in silico] and experimental follow-up. The chloramphenicol example illustrates its utility for uncovering non-obvious repositioning opportunities. Future work will extend similarity definitions (e.g., to higher-order network motifs) and incorporate wet-lab validation of top candidates.","Colibăşanu, Daiana; Groza, Vlad; Occhiuzzi, Maria Antonietta; Grande, Fedora; Udrescu, Mihai; Udrescu, Lucreția",6,1,Crossref,2032,views_from_filtered_article_listing_2025,molecular docking; drug repositioning; drug-disease network; drug-drug similarity network; ATC labeling,Otros,NA,NA,NA,sin_evidencia_fuerte,NA,NA,NA,NA,73
